,Date,User,Tweet
90,2019-05-18 16:50:07+00:00,KedarSirohi,"Modi is India, India is Modi- this was proved at the press conference. Mr. India couldn’t be seen by the ‘reporters’ . Only one was wearing a Red glass.
#19_मई 
#LokSabhaElections2019 #MuteModi"
91,2019-05-18 16:49:59+00:00,__Shivampandey,"Rahul Gandhi Spotted in Switzerland, 1 hour ago: Source #RahulGandhi is it true???
@divyaspandana"
92,2019-05-18 16:49:09+00:00,zarbealikazmi,1/2 without “#Parchi”. Modi was totally quite in hole conference rather than the president of #BJP answering all the questions. 😜😜😜😜
93,2019-05-18 16:44:25+00:00,subhamsenapaty,"To all #BJP bhakts, it's an open challenge.
I need loan from any central government scheme.

#Note- 
1. All documents are ready.
2. Credit score is good.
@narendramodi @girirajsinghbjp @drramansingh @dpradhanbjp
@BJP4India @PMOIndia @sambitswaraj @AmitShah @minmsme"
94,2019-05-18 16:42:44+00:00,MandalRakhal,"I have not got my postal ballot yet. I don't know why? Is it because of being supporter of #BJP, an active worker of #RSS, or for posting social media of nationalism? Plz help me for cast my vote? @MithuDasbjp @abpanandatv @dna @DebjitSarkarBJP"
95,2019-05-18 16:39:12+00:00,ankur_jha,"4. During monsoons walking out meant stepping out on filthy, broken roads and we soiled our clothes. Now, we have roads and commute has become easier.

In the end he commented - While people won't admit about voting for #BJP, magar vote unhi ko karenge. #AayegaTohModiHi"
96,2019-05-18 16:36:05+00:00,AKLalB,"@WalaNitin @TOIIndiaNews @MamataOfficial .@rashtrapatibhvn @PMOIndia @HMOIndia @AmitShah @BJP4India @BJP4Bengal Ask @ECISVEEP to order re-polls in all #WestBengal booths under Army with orders to arrest miscreants and irrant officials,book @MamataOfficial for #Hindu #Genocide in #Elections #Modi #AmitShah #BJP #BREAKING"
97,2019-05-18 16:34:26+00:00,AKLalB,"@RoseSubhash @TOIIndiaNews @MamataOfficiaI .@rashtrapatibhvn @PMOIndia @HMOIndia @AmitShah @BJP4India @BJP4Bengal Ask @ECISVEEP to order re-polls in all #WestBengal booths under Army with orders to arrest miscreants and irrant officials,book @MamataOfficial for #Hindu #Genocide in #Elections #Modi #AmitShah #BJP #BREAKING"
98,2019-05-18 16:32:39+00:00,soumyasarkar007,If voted power @narendramodi should not make the mistake by considering @arunjaitley as FM. It will be the worst case for the economy. #AbkiBaar300Paar #BJP #ApnaModiAayega #AyegaTohModiHi
99,2019-05-18 16:29:13+00:00,usman_majid1,BJP will be nowhere in India after May 23. BJP will vanish after May 23.  @RahulGandhi #LokSabhaElections2019
100,2019-05-18 16:19:16+00:00,extractsharma,@jiojibhark @DRMBRCWR @PiyushGoyalOffc @PiyushGoyal @wrdrmrjt Don't worry I have traveled 2000 km to just vote for #bjp on 29th april ..so go and vote and make him become the pm of india again.....
101,2019-05-18 16:17:20+00:00,Scorpion1007,@IndiaToday @k_satyarthi Patriot or not but #bjp is justifying an assasin here while they make a big deal about butchers or even consumers for selling/eating beef and kill them on the basis of doubts only. Pathetic politics.
102,2019-05-18 16:16:24+00:00,Abhijeet_Roy_,To all people plz vote for #bjp @Samikbjp will win from Dum Dum #NarendraModi #SaveBengalSaveDemocracy
103,2019-05-18 16:15:19+00:00,BLSwarnkar2,#INC spokesperson #Surjewala never misses any chance to criticise any constitutional institution going against their whims..
104,2019-05-18 16:14:49+00:00,Od_Vigilante,Increase the #Retirement #Age to 62 @narendramodi ji. #Kedarnath #HarHarMahadev #BJP #Election2019Results #Election2019 #RealHeroesOfHumanity @BJP4India @AmitShah
105,2019-05-18 16:12:30+00:00,sudhtrik,@shreyadhoundial Haha...your anti bias towards #BJP is not even hidden from your Dad 😂
106,2019-05-18 16:12:13+00:00,ishubhamojha,@sonakshisinha @ShatruganSinha This is not right choice madam....Only #BJP
107,2019-05-18 16:12:04+00:00,Naveen_Vns_UP,"@BJP4UP Again #BJP 
#NamoAgain"
108,2019-05-18 16:10:29+00:00,SsyadavaYADAVA,@ndtv Just doing all this as last desperate attempt in polarising voters in #BJP favour on 59 seats of phase 7 ?????
109,2019-05-18 16:05:12+00:00,Scorpion1007,@IndiaToday @narendramodi What kind of bloody drama is this by this #bjp clown now?
110,2019-05-18 16:04:08+00:00,MandalRakhal,"I have not got my postal ballot yet. I don't know why? Is it because of being supporter of #BJP, an active worker of #RSS, or for posting social media of nationalism? Plz help me for cast my vote? @MMBhagwat @rashtrapatibhvn @bangk @rabisanka @arunjaitley @RSSorg #RSS"
111,2019-05-18 15:59:41+00:00,Vishal_FilmBuff,"Forget the outcome on 23rd May, as a responsible Indian citizen.. think? If you believe in #BJP ideology, you will need a strong opposition to help BJP govern right? If you believe in #Congress, they need to get their act together? In both scenarios, is Congress getting it right?"
112,2019-05-18 15:54:47+00:00,TituDas14752678,#PriyankaGandhi is like #CerseiLannister of #Got finale who has no role to play in #LokSabhaElections2019 rather standing and watching her #Dynasty  and #Congress falling apart #Modi is like #JonSnow people's choice
113,2019-05-18 15:54:09+00:00,blindgaurdien16,"On the debate in @TimesNow debate, panelists like Sadanand Dhume and Ashutosh assume that #SadhviPragya was a move which will pull down #BJP. Why do these AC room panelists always fail to understand the real #Hindutva sentiment in ground reality?"
114,2019-05-18 15:53:53+00:00,Princetweetbook,"@AnupamPKher @KirronKherBJP I really feel bad about them, In every 5years they attend BJP or Congress leaders Rally with hope(Umeed) that something will change and we will get some benefits. 😰 #Modiji #loksabhaelections2019"
